,INVOICE CODE,ACCOUNT URL,AMOUNT,COMMISSIONS (USD)
0,FDEUR162982,archivisthd.freshdesk.com,381.3,95.32
1,FDEUR162990,risattiservice.freshdesk.com,570.72,142.68
2,FDEUR163305,afeasupport.freshdesk.com,570.72,142.68
3,FDEUR163865,togetherprice.freshdesk.com,159.9,39.97
4,FD1356026,clientsasuranceameli.freshdesk.com,25.0,6.25
5,FD1350922,hoplix.freshdesk.com,150.0,37.5
6,FSEUR20364,prodottigianni.freshservice.com,228.78,57.19
7,212234,importforme,98.0,24.5
8,218369,importforme,98.0,24.5
9,235952,importforme,98.0,24.5
10,224468,importforme,98.0,24.5
11,230387,importforme,98.0,24.5
12,241372,importforme,98.0,24.5
13,FDEUR138831,meccarnispa.freshdesk.com,4501.8,1125.45
14,FDEUR163344,imasimpiantisrl.freshdesk.com,79.95,19.98
15,FDEUR163251,sammontana.freshdesk.com,23.37,5.84
16,FDEUR164893,futurenergy.freshdesk.com,276.75,69.18
17,FD1361712,servizioclientikillin.freshdesk.com,25.0,6.25
18,FDEUR165213,housers.freshdesk.com,369.0,92.25
19,FDEUR165754,enriccorberainstitute.freshdesk.com,856.08,214.02
20,FDEUR165913,tun2u.freshdesk.com,142.68,35.67
21,246883,importforme,49.0,12.25
22,FCL258992,devourtours.freshcaller.com,23.37,5.84
23,FDEUR164523,tiemmeelettronica.freshdesk.com,51.66,12.91
24,248223,plurima,76.0,19.0
25,FDEUR163990,vapeitalia.freshdesk.com,159.9,39.97
26,FSEUR20124,cellularitalia.freshservice.com,1232.46,308.11
27,FD1360746,persechini.freshdesk.com,260.0,65.0
28,FDEUR163426,ictsesaab.freshdesk.com,2656.8,664.2
29,FCL258984,persechini.freshcaller.com,0.0,0.0
30,FDEUR162840,industrialtime.freshdesk.com,3055.32,763.83
31,246388,iconacasa,76.0,19.0
32,FD1346707,icstechnologies.freshdesk.com,19.0,4.75
33,FSEUR19711,humanitas.freshservice.com,600.24,150.06
34,FRELEASE69253,Not Available,12.0,3.0
35,FSEUR20753,truckitalia.freshservice.com,63.96,15.99
36,FRS169602,criticalcasecrm.freshsales.io,274.29,68.57
37,FDEUR160535,dufercoenergia.freshdesk.com,478.47,119.61
38,FDEUR161697,dufercoenergia.freshdesk.com,535.05,133.76
39,FD1360152,conteit.freshdesk.com,932.0,233.0
40,FSEUR20017,diasorin.freshservice.com,11179.47,2794.86
41,FDEUR162033,anritsu-support.freshdesk.com,683.88,170.97
42,FDEUR164399,maurysonline.freshdesk.com,215.25,53.81
43,FSEUR19866,upgradesrl.freshservice.com,833.94,208.48
44,FD1346823,netgatesnc.freshdesk.com,175.0,43.75
45,FD1355857,kinetrika.freshdesk.com,1080.0,270.0
46,FSEUR19759,logotelit.freshservice.com,1429.26,357.31
47,FDEUR163804,ietimpianti.freshdesk.com,93.48,23.37
48,FDEUR163756,soisy.freshdesk.com,340.71,85.17
49,FDEUR163238,gianpaolofontani.freshdesk.com,23.37,5.84
50,FDEUR165819,diceworld.freshdesk.com,55.35,13.83
51,FD1353670,syfer.freshdesk.com,38.0,9.5
52,FDEUR159746,recordit.freshdesk.com,1394.82,348.7
53,FDEUR164406,giordanoshop.freshdesk.com,140.22,35.05
54,FRS167152,covermanagersales.freshsales.io,55.35,13.83
55,FDEUR164773,Not Available,23.37,5.84
56,FDEUR164955,businessboxitaliahelp.freshdesk.com,23.37,5.84
57,FD1349061,cioccasupport.freshdesk.com,99.0,24.75
58,243237,dojo-org,95.94,23.98
59,FRS170792,xerjoffgroup.freshsales.io,38.0,9.5
60,244049,giordanoshop,263.22,65.8
61,FDEUR163601,atipicishop.freshdesk.com,116.85,29.21
62,FDEUR163309,covermanagercom.freshdesk.com,13.53,3.38
63,FDEUR159571,covermanagercom.freshdesk.com,33.21,8.3
64,FD1361819,testbusters.freshdesk.com,114.0,28.5
65,248111,comifers,47.97,11.99
66,FDEUR165781,newaccount1608390207880.freshdesk.com,116.85,29.21
67,FDEUR164983,smartmediatools.freshdesk.com,186.96,46.74
68,FT-13492,Not Available,76.26,19.06
69,FDEUR163031,Not Available,140.22,35.05
70,FDEUR164046,overstep.freshdesk.com,23.37,5.84
71,FDEUR164867,Not Available,140.22,35.05
72,246184,diceworld,47.97,11.99
73,248510,diceworld,0.0,0.0
74,FDEUR165798,newaccount1614544412427.freshdesk.com,166.05,41.51
75,FDEUR164763,Not Available,55.35,13.83
76,FW7167,Not Available,656.82,164.2
77,FW6447,Not Available,373.92,93.48
78,244256,soisy1,531.36,132.84
79,FDEUR163858,Not Available,46.74,11.68
80,FD1351977,medicilio.freshdesk.com,594.0,148.5
81,FDEUR164966,Not Available,424.35,106.08
82,FDEUR165066,Not Available,23.37,5.84
83,FD1355415,Not Available,38.0,9.5
84,FDEUR162895,Not Available,5498.1,1374.52
85,FDEUR164835,Not Available,140.22,35.05
86,FDEUR156759,Not Available,2332.08,583.02
87,FW5651,proximanetwork.myfreshworks.com,7837.56,1959.39
0,FSEUR21120,Not Available,987.9696,246.99
1,FSEUR22004,humanitas.freshservice.com,768.8844,192.22
2,FSEUR22582,mercatocentrale.freshservice.com,1586.0592,396.51
3,FDEUR175264,ecosprayassist.freshdesk.com,1377.063,344.26
4,FDEUR176077,newaccount1618482194451.freshdesk.com,1343.2848,335.82
5,FSEUR23837,ndw.freshservice.com,41.9748,10.49
6,FSEUR24229,humanitas.freshservice.com,1778.115,444.52
7,FDEUR177477,anritsu-support.freshdesk.com,63814.464,15953.61
8,FSEUR24424,mermec.freshservice.com,2879.9136,719.97
9,FDEUR178027,anritsu-support.freshdesk.com,1059.7668,264.94
10,FDEUR178233,meccarnispa.freshdesk.com,4172.4,1043.1
11,FD1452593,bluenext.freshdesk.com,65.35,16.33
12,FD1456160,igrbroker.freshdesk.com,45.0,11.25
13,270021,plurima,57.0,14.25
14,FD1458225,bluenext.freshdesk.com,36228.0,9057.0
15,FDEUR179387,archivisthd.freshdesk.com,353.4,88.35
16,FDEUR179401,risattiservice.freshdesk.com,528.96,132.24
17,FRS183388,criticalcasecrm.freshsales.io,254.0718,63.51
18,FDEUR179445,Not Available,129.96,32.49
19,FD1459185,dteglobal.freshdesk.com,206.0,51.5
20,FD1459320,renesys.freshdesk.com,684.0,171.0
21,270474,dojo-org,88.92,22.23
22,FDEUR179626,sammontana.freshdesk.com,21.66,5.41
23,FD1459822,icstechnologies.freshdesk.com,19.0,4.75
24,FDEUR179673,afeasupport.freshdesk.com,547.2,136.8
25,FDEUR179720,imasimpiantisrl.freshdesk.com,74.1,18.52
26,FW18703,okkocomunicazione-org.myfreshworks.com,41.04,10.26
27,FW12750,https://interfloraitalia-org.myfreshworks.com/,4342.032,1085.5
28,FDEUR179833,mediacom.freshdesk.com,198.36,49.59
29,FD1461416,servizioclientikillin.freshdesk.com,25.0,6.25
